,Team,Sentiment,recent_wins,recent_losses
0,Celtics,0.3168080041603166,2,2
1,Nets,0.3459794286525611,1,3
2,Knicks,0.033959727693390035,4,0
3,76ers,0.09589941166341302,4,0
4,Raptors,0.4401315649350484,0,4
5,Bulls,0.3548651141456411,2,2
6,Cavaliers,0.33979174671946355,2,2
7,Pistons,0.032642291611935714,1,3
8,Pacers,-0.19350525921788703,3,1
9,Bucks,0.09128704335954455,2,2
10,Hawks,0.44209722572184623,0,4
11,Hornets,0.3428151223394605,2,2
12,Heat,-0.21903169703629852,3,1
13,Magic,0.49174503074295217,1,3
14,Wizards,0.3586654892030931,0,4
15,Mavericks,0.5705417353766306,2,2
16,Rockets,0.24186230897903443,3,1
17,Grizzlies,0.05322539835583928,0,4
18,Pelicans,0.13618294816268117,3,1
19,Spurs,0.06715206380771559,3,1
20,Nuggets,0.303318929863486,3,1
21,Timberwolves,0.37329084073712004,2,2
22,Thunder,0.17075035008755357,4,0
23,Trail Blazers,0.45769490374297633,0,4
24,Jazz,0.35506992538770044,2,2
25,Warriors,0.6154842488058319,3,1
26,Clippers,0.07667705740953354,1,3
27,Lakers,-0.01871222373727086,2,2
28,Suns,0.11295490026474,3,1
29,Kings,0.34581367463372936,1,3
